Gene,Name,Sample,Target,Cq Mean,Cq SD,Oligos,Class_gene,Group,hsk_cq,dCT,dCT_mean,ddCT,FoldChange
cdk2ap2,uninjected_rep1,1,1,22.464172910000002,0.11512380048654236,946/947,hsk,uninjected,22.464172910000002,0,0,0,1
cdk2ap2,uninjected_rep2,2,1,22.27785823,0.11477761861191127,946/947,hsk,uninjected,22.27785823,0,0,0,1
cdk2ap2,znf_1_rep2,8,1,23.32657650666667,0.10687202611602468,946/947,hsk,znf_1,23.32657650666667,0,0,0,1
cdk2ap2,pcas13d_rep1,4,1,22.398121686666666,0.188732985017918,946/947,hsk,pcas13d,22.398121686666666,0,0,0,1
cdk2ap2,pcas13d_rep2,5,1,22.557960226666665,0.10659840683519467,946/947,hsk,pcas13d,22.557960226666665,0,0,0,1
cdk2ap2,pcas13d_rep3,6,1,23.067334825,0.053346051832088216,946/947,hsk,pcas13d,23.067334825,0,0,0,1
cdk2ap2,znf_1_rep1,7,1,22.973062256666665,0.07800347520302071,946/947,hsk,znf_1,22.973062256666665,0,0,0,1
cdk2ap2,znf_2_rep2,11,1,22.729223593333334,0.13884697938384785,946/947,hsk,znf_2,22.729223593333334,0,0,0,1
cdk2ap2,uninjected_rep3,3,1,22.535828915,0.09405338312326968,946/947,hsk,uninjected,22.535828915,0,0,0,1
cdk2ap2,znf_2_rep3,12,1,23.1535064,0.13252843629696184,946/947,hsk,znf_2,23.1535064,0,0,0,1
cdk2ap2,znf_3_rep1,13,1,23.165401636666665,0.18312248642960957,946/947,hsk,znf_3,23.165401636666665,0,0,0,1
cdk2ap2,znf_2_rep1,10,1,23.353337455000002,0.048985380881056986,946/947,hsk,znf_2,23.353337455000002,0,0,0,1
cdk2ap2,znf_1_rep3,9,1,22.74684596,0.010057646439293634,946/947,hsk,znf_1,22.74684596,0,0,0,1
cdk2ap2,znf_3_rep3,15,1,22.846540023333333,0.08933616731165962,946/947,hsk,znf_3,22.846540023333333,0,0,0,1
cdk2ap2,znf_3_rep2,14,1,22.807432653333333,0.17802251884251996,946/947,hsk,znf_3,22.807432653333333,0,0,0,1
taf15,uninjected_rep1,1,3,20.129848646666666,0.1295723673906893,944/945,exp,uninjected,22.464172910000002,-2.334324263333336,-2.363123338333333,0.02879907499999712,0.9802359238784076
taf15,znf_1_rep2,8,3,20.643395483333332,0.15059037889430674,944/945,exp,znf_1,23.32657650666667,-2.6831810233333364,-2.363123338333333,-0.3200576850000032,1.2483804633917333
