Comparison,Gene,Control,Test,PValue,MeanControl,MeanTest,TStatistic
pcas13d vs uninjected,taf15,pcas13d,uninjected,0.2422227151184348,1.0023414954834968,0.9185977339939818,1.3856498759432117
pcas13d vs znf_1,taf15,pcas13d,znf_1,0.025078022588158746,1.0023414954834968,1.3246145771064441,-3.762688758947516
pcas13d vs znf_2,taf15,pcas13d,znf_2,0.15682725986829998,1.0023414954834968,1.2784417647010002,-1.9946643958669725
pcas13d vs znf_3,taf15,pcas13d,znf_3,0.5009055011129081,1.0023414954834968,0.953490145964375,0.7391695683030806
pcas13d vs uninjected,znf_3prime,pcas13d,uninjected,0.2961481665134168,1.0067420079226892,0.8897162726700956,1.3840974665123789
pcas13d vs znf_1,znf_3prime,pcas13d,znf_1,0.014863175923472041,1.0067420079226892,0.39985213385172597,7.069104268824474
pcas13d vs znf_2,znf_3prime,pcas13d,znf_2,0.32665523284534514,1.0067420079226892,0.8426695737445936,1.1336275271907914
pcas13d vs znf_3,znf_3prime,pcas13d,znf_3,0.0387849296649292,1.0067420079226892,0.6780646790474812,3.129266266215633
pcas13d vs uninjected,znf_cds,pcas13d,uninjected,0.3363846943550466,1.0032403110451014,0.9297498224954736,1.1598703342751944
pcas13d vs znf_1,znf_cds,pcas13d,znf_1,0.005633428821907698,1.0032403110451014,0.42145307338073174,9.56604255030509
pcas13d vs znf_2,znf_cds,pcas13d,znf_2,0.30264143219627726,1.0032403110451014,0.8595386770274687,1.2281769546489272
pcas13d vs znf_3,znf_cds,pcas13d,znf_3,0.023044205575365108,1.0032403110451014,0.6819683882427224,5.3078564279582885
