Sample,Target,Cq Mean,Cq SD,Oligos,Gene,Class_gene,Name,Group
1,1,22.464172910000002,0.11512380048654236,946/947,cdk2ap2,hsk,uninjected_rep1,uninjected
1,2,22.574498246666668,0.08174844793922284,5209/5210,znf_3prime,exp,uninjected_rep1,uninjected
1,3,20.129848646666666,0.1295723673906893,944/945,taf15,exp,uninjected_rep1,uninjected
1,4,23.460530776666666,0.06514740689675427,4615/4616,znf_cds,exp,uninjected_rep1,uninjected
2,1,22.27785823,0.11477761861191127,946/947,cdk2ap2,hsk,uninjected_rep2,uninjected
2,2,22.323083986666667,0.09846964700246126,5209/5210,znf_3prime,exp,uninjected_rep2,uninjected
2,3,20.145546066666665,0.19311756407110114,944/945,taf15,exp,uninjected_rep2,uninjected
2,4,23.381704206666665,0.038729548171966575,4615/4616,znf_cds,exp,uninjected_rep2,uninjected
3,4,23.50761469,0.043457248547679524,4615/4616,znf_cds,exp,uninjected_rep3,uninjected
3,2,22.601507793333333,0.09003533315564666,5209/5210,znf_3prime,exp,uninjected_rep3,uninjected
3,1,22.535828915,0.09405338312326968,946/947,cdk2ap2,hsk,uninjected_rep3,uninjected
3,3,20.28767535,0.1076239362672133,944/945,taf15,exp,uninjected_rep3,uninjected
4,2,22.47556712,0.10379892570042469,5209/5210,znf_3prime,exp,pcas13d_rep1,pcas13d
4,1,22.398121686666666,0.188732985017918,946/947,cdk2ap2,hsk,pcas13d_rep1,pcas13d
4,4,23.424550286666665,0.08986168466539576,4615/4616,znf_cds,exp,pcas13d_rep1,pcas13d
4,3,20.17352938333333,0.17791391364614528,944/945,taf15,exp,pcas13d_rep1,pcas13d
5,4,23.526574909999997,0.07025017902739392,4615/4616,znf_cds,exp,pcas13d_rep2,pcas13d
5,3,20.146271845,0.10279114404479826,944/945,taf15,exp,pcas13d_rep2,pcas13d
5,1,22.557960226666665,0.10659840683519467,946/947,cdk2ap2,hsk,pcas13d_rep2,pcas13d
5,2,22.514468283333333,0.06605045614970051,5209/5210,znf_3prime,exp,pcas13d_rep2,pcas13d
6,4,23.825633693333334,0.046537573373851365,4615/4616,znf_cds,exp,pcas13d_rep3,pcas13d
6,2,22.748096903333334,0.12852393003785545,5209/5210,znf_3prime,exp,pcas13d_rep3,pcas13d
6,3,20.614245495,0.15158349184565723,944/945,taf15,exp,pcas13d_rep3,pcas13d
6,1,23.067334825,0.053346051832088216,946/947,cdk2ap2,hsk,pcas13d_rep3,pcas13d
7,4,25.031676943333334,0.077677253856577,4615/4616,znf_cds,exp,znf_1_rep1,znf_1
7,1,22.973062256666665,0.07800347520302071,946/947,cdk2ap2,hsk,znf_1_rep1,znf_1
7,2,24.09116799,0.03410518857412123,5209/5210,znf_3prime,exp,znf_1_rep1,znf_1
7,3,20.27793307,0.05864094741218144,944/945,taf15,exp,znf_1_rep1,znf_1
8,3,20.643395483333332,0.15059037889430674,944/945,taf15,exp,znf_1_rep2,znf_1
8,4,25.60767514,0.13343904842116067,4615/4616,znf_cds,exp,znf_1_rep2,znf_1
8,1,23.32657650666667,0.10687202611602468,946/947,cdk2ap2,hsk,znf_1_rep2,znf_1
8,2,24.68290612,0.08462084828506114,5209/5210,znf_3prime,exp,znf_1_rep2,znf_1
9,2,23.964384133333333,0.14944596173980862,5209/5210,znf_3prime,exp,znf_1_rep3,znf_1
9,3,19.831147835,0.13444060717460526,944/945,taf15,exp,znf_1_rep3,znf_1
9,4,24.90871529,0.12329168723520169,4615/4616,znf_cds,exp,znf_1_rep3,znf_1
9,1,22.74684596,0.010057646439293634,946/947,cdk2ap2,hsk,znf_1_rep3,znf_1
10,4,24.21443197,0.0941008266904691,4615/4616,znf_cds,exp,znf_2_rep1,znf_2
10,2,23.197245143333333,0.17753957507381693,5209/5210,znf_3prime,exp,znf_2_rep1,znf_2
10,3,20.37184919,0.013973122960892398,944/945,taf15,exp,znf_2_rep1,znf_2
10,1,23.353337455000002,0.048985380881056986,946/947,cdk2ap2,hsk,znf_2_rep1,znf_2
11,3,20.20888198,0.11685800377691635,944/945,taf15,exp,znf_2_rep2,znf_2
11,4,24.186189216666666,0.059073856382549916,4615/4616,znf_cds,exp,znf_2_rep2,znf_2
11,2,23.2905843,0.07482041982129586,5209/5210,znf_3prime,exp,znf_2_rep2,znf_2
11,1,22.729223593333334,0.13884697938384785,946/947,cdk2ap2,hsk,znf_2_rep2,znf_2
12,2,23.292220413333336,0.05877642654983487,5209/5210,znf_3prime,exp,znf_2_rep3,znf_2
12,1,23.1535064,0.13252843629696184,946/947,cdk2ap2,hsk,znf_2_rep3,znf_2
12,4,24.305103443333334,0.10658666454840969,4615/4616,znf_cds,exp,znf_2_rep3,znf_2
12,3,20.545427806666666,0.1007353847611619,944/945,taf15,exp,znf_2_rep3,znf_2
13,2,23.468301856666667,0.10676639631067737,5209/5210,znf_3prime,exp,znf_3_rep1,znf_3
13,4,24.60528722,0.06506588959333341,4615/4616,znf_cds,exp,znf_3_rep1,znf_3
13,3,20.955411724999998,0.0098190898245219,944/945,taf15,exp,znf_3_rep1,znf_3
13,1,23.165401636666665,0.18312248642960957,946/947,cdk2ap2,hsk,znf_3_rep1,znf_3
14,1,22.807432653333333,0.17802251884251996,946/947,cdk2ap2,hsk,znf_3_rep2,znf_3
14,2,23.181685356666666,0.08170860027544975,5209/5210,znf_3prime,exp,znf_3_rep2,znf_3
14,3,20.569538235000003,0.06701104594201186,944/945,taf15,exp,znf_3_rep2,znf_3
14,4,24.233875656666665,0.06805383510170578,4615/4616,znf_cds,exp,znf_3_rep2,znf_3
15,1,22.846540023333333,0.08933616731165962,946/947,cdk2ap2,hsk,znf_3_rep3,znf_3
15,2,23.606118343333332,0.10082316858998368,5209/5210,znf_3prime,exp,znf_3_rep3,znf_3
