Target,Sample,Cq,Cq Mean,Cq SD,Name,Group,Oligos,Gene,Class_gene,dMean,MeanRank,Outlier
1,1,22.38276809,22.35763606,0.201685517,uninjected_rep1,uninjected,946/947,cdk2ap2,hsk,6.316189319208093e-4,1,No
1,1,22.14456235,22.35763606,0.201685517,uninjected_rep1,uninjected,946/947,cdk2ap2,hsk,0.04540040589316399,3,Yes
1,1,22.54557773,22.35763606,0.201685517,uninjected_rep1,uninjected,946/947,cdk2ap2,hsk,0.035322071322389174,2,No
1,8,23.20463819,23.32657651,0.106872027,znf_1_rep2,znf_1,946/947,cdk2ap2,hsk,0.014868953884421951,3,No
1,15,22.79719763,22.84654002,0.089336172,znf_3_rep3,znf_3,946/947,cdk2ap2,hsk,0.002434671450912063,1,No
1,5,22.49329245,22.55796022,0.106598407,pcas13d_rep2,pcas13d,946/947,cdk2ap2,hsk,0.004181920476772873,2,No
1,12,23.13114285,23.1535064,0.132528436,znf_2_rep3,znf_2,946/947,cdk2ap2,hsk,5.00128368602565e-4,1,No
1,2,22.39188177,22.27785823,0.114777621,uninjected_rep2,uninjected,946/947,cdk2ap2,hsk,0.013001367674131962,2,No
1,2,22.16234111,22.27785823,0.114777621,uninjected_rep2,uninjected,946/947,cdk2ap2,hsk,0.013344205013094355,3,No
1,2,22.27935181,22.27785823,0.114777621,uninjected_rep2,uninjected,946/947,cdk2ap2,hsk,2.2307812164052895e-6,1,No
1,9,22.75395779,22.60450588,0.246642797,znf_1_rep3,znf_1,946/947,cdk2ap2,hsk,0.02233587340264804,2,No
1,6,23.02961347,23.21725409,0.262393337,pcas13d_rep3,pcas13d,946/947,cdk2ap2,hsk,0.03520900227398433,2,No
1,6,23.10505618,23.21725409,0.262393337,pcas13d_rep3,pcas13d,946/947,cdk2ap2,hsk,0.012588371008368675,1,No
1,13,23.03460042,23.16540164,0.183122488,znf_3_rep1,znf_3,946/947,cdk2ap2,hsk,0.017108959153488035,2,No
1,3,22.20239639,22.42468474,0.203671556,uninjected_rep3,uninjected,946/947,cdk2ap2,hsk,0.04941211054572226,3,Yes
1,3,22.46932313,22.42468474,0.203671556,uninjected_rep3,uninjected,946/947,cdk2ap2,hsk,0.001992585861792043,1,No
1,3,22.6023347,22.42468474,0.203671556,uninjected_rep3,uninjected,946/947,cdk2ap2,hsk,0.031559508288001636,2,No
1,10,23.31869956,23.14944411,0.35484824,znf_2_rep1,znf_2,946/947,cdk2ap2,hsk,0.028647407354701778,1,No
1,7,23.01513242,22.97306226,0.078003476,znf_1_rep1,znf_1,946/947,cdk2ap2,hsk,0.001769898362425728,1,No
1,7,22.88305531,22.97306226,0.078003476,znf_1_rep1,znf_1,946/947,cdk2ap2,hsk,0.008101251048302385,3,No
1,14,22.65147248,22.80743265,0.17802252,znf_3_rep2,znf_3,946/947,cdk2ap2,hsk,0.024323574626428954,2,No
1,4,22.18251191,22.39812169,0.188732988,pcas13d_rep1,pcas13d,946/947,cdk2ap2,hsk,0.04648757723164892,3,No
1,4,22.53339397,22.39812169,0.188732988,pcas13d_rep1,pcas13d,946/947,cdk2ap2,hsk,0.018298589736398075,2,No
1,4,22.47845918,22.39812169,0.188732988,pcas13d_rep1,pcas13d,946/947,cdk2ap2,hsk,0.006454112299500351,1,No
