Target,Sample,Cq,Cq Mean,Cq SD,Name,Group,Oligos,Gene,Class_gene
1,31,35.16544714,34.554232,0.603856971,rt-znf_3_rep3,rt-,946/947,cdk2ap2,hsk
1,21,36.2384194,34.88461604,1.393198008,rt-pcas13d_rep2,rt-,946/947,cdk2ap2,hsk
1,25,34.66466183,34.15441129,1.140481802,rt-znf_1_rep3,rt-,946/947,cdk2ap2,hsk
1,32,NA,NA,NA,water_rep2,water,946/947,cdk2ap2,hsk
1,22,33.82758245,33.98213806,0.175343792,rt-pcas13d_rep3,rt-,946/947,cdk2ap2,hsk
1,32,NA,NA,NA,water_rep2,water,946/947,cdk2ap2,hsk
1,22,34.17268487,33.98213806,0.175343792,rt-pcas13d_rep3,rt-,946/947,cdk2ap2,hsk
1,26,33.26697587,34.19568588,1.157694229,rt-znf_2_rep1,rt-,946/947,cdk2ap2,hsk
1,16,NA,NA,NA,water_rep1,water,946/947,cdk2ap2,hsk
1,23,34.05030034,33.46897295,0.561095264,rt-znf_1_rep1,rt-,946/947,cdk2ap2,hsk
1,20,NA,NA,NA,rt-pcas13d_rep1,rt-,946/947,cdk2ap2,hsk
1,23,32.93057604,33.46897295,0.561095264,rt-znf_1_rep1,rt-,946/947,cdk2ap2,hsk
1,27,34.00198385,35.5609671,1.500005735,rt-znf_2_rep2,rt-,946/947,cdk2ap2,hsk
1,17,NA,NA,NA,rt-uninjected_rep1,rt-,946/947,cdk2ap2,hsk
1,24,32.66118125,34.97165381,2.309518656,rt-znf_1_rep2,rt-,946/947,cdk2ap2,hsk
1,21,33.45511019,34.88461604,1.393198008,rt-pcas13d_rep2,rt-,946/947,cdk2ap2,hsk
1,24,37.28021738,34.97165381,2.309518656,rt-znf_1_rep2,rt-,946/947,cdk2ap2,hsk
1,28,33.04814283,34.56907368,0.61336674,rt-znf_2_rep3,rt-,946/947,cdk2ap2,hsk
1,18,NA,NA,NA,rt-uninjected_rep2,rt-,946/947,cdk2ap2,hsk
1,18,NA,NA,NA,rt-uninjected_rep2,rt-,946/947,cdk2ap2,hsk
1,28,34.1353579,34.56907368,0.61336674,rt-znf_2_rep3,rt-,946/947,cdk2ap2,hsk
1,25,34.95068129,34.15441129,1.140481802,rt-znf_1_rep3,rt-,946/947,cdk2ap2,hsk
1,25,32.84789074,34.15441129,1.140481802,rt-znf_1_rep3,rt-,946/947,cdk2ap2,hsk
1,29,33.35365662,33.95276845,0.602585281,rt-znf_3_rep1,rt-,946/947,cdk2ap2,hsk
1,19,33.394774580000004,34.16127894,1.219713136,rt-uninjected_rep3,rt-,946/947,cdk2ap2,hsk
1,20,31.59160725,33.36513691,2.508149704,rt-pcas13d_rep1,rt-,946/947,cdk2ap2,hsk
1,19,35.56778741,34.16127894,1.219713136,rt-uninjected_rep3,rt-,946/947,cdk2ap2,hsk
